,AA Code,All Persons Number of jobs (000's),All Persons Median Wage,All Persons Mean Wage
Belfast East,N06000001,44,26373,28411
Belfast North,N06000002,37,21155,22498
Belfast South,N06000003,101,23627,28006
Belfast West,N06000004,18,17608,22242
East Antrim,N06000005,21,21422,25367
East Londonderry,N06000006,21,16208,18487
Fermanagh & South Tyrone,N06000007,38,17781,20438
Foyle,N06000008,43,19803,21892
Lagan Valley,N06000009,33,18856,21615
Mid Ulster,N06000010,23,19256,21670
Newry & Armagh,N06000011,44,18588,20533
North Antrim,N06000012,34,18345,22953
North Down,N06000013,*,*,19003
South Antrim,N06000014,32,20999,24776
South Down,N06000015,26,16497,19915
Strangford,N06000016,28,17727,19635
Upper Bann,N06000017,47,19191,22994
West Tyrone,N06000018,22,*,19913
